,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
62,0.082638194,0.039044161,0.026755254,0.039636145,0.069338238,0.10840149,0.152004197,0.197485235,0.243013812,0.287082232,0.328491473,0.366391418,0.400264632,0.429873284
63,0.173297321,0.025708821,0.045397385,0.163101586,0.292621107,0.407419339,0.503955984,0.586609934,0.658414217,0.720070457,0.771495598,0.812862147,0.844819037,0.868331623
64,0.107479857,0.09736142,0.098323001,0.109919378,0.129845594,0.15403258,0.178562628,0.201622224,0.222643846,0.241265435,0.2570369,0.26949897,0.278309723,0.283317563
65,0.146741935,0.146190269,0.141558474,0.135998791,0.133366595,0.135050393,0.139619001,0.145645794,0.152297117,0.158911,0.164779532,0.169183335,0.171498579,0.171280587
66,0.220284023,0.244899067,0.1987424,0.18155136,0.250808388,0.349402382,0.448449812,0.542088208,0.627321819,0.701868694,0.764702846,0.815984076,0.856584688,0.887637078
67,0.24302996,0.18383625,0.079892989,0.053248389,0.13094426,0.190936802,0.233863973,0.262297134,0.274844977,0.26986251,0.24727221,0.208548832,0.156105226,0.092695992
68,0.297290654,0.334492763,0.350997396,0.359319236,0.382485529,0.428093648,0.49273632,0.56979133,0.653092662,0.738274173,0.822801907,0.905375162,0.985301095,1.062111045
69,0.049851382,0.086887645,0.014304717,0.099544501,0.21279293,0.305264624,0.374184136,0.423067433,0.455990582,0.476456974,0.487514501,0.491866507,0.491850194,0.489384407
70,0.021317268,0.013001226,0.010927378,0.016855899,0.036711527,0.07309145,0.122746893,0.180407356,0.241440773,0.302496774,0.361346437,0.416583937,0.467377279,0.513291152
71,0.216835935,0.311970616,0.333229022,0.312538957,0.293863605,0.289943527,0.295413447,0.302527663,0.305631343,0.301643893,0.289733594,0.270747889,0.246667495,0.220298382
72,0.131611148,0.086586784,0.088341395,0.10673935,0.130715263,0.154147556,0.173861821,0.18953554,0.20197554,0.211867979,0.219489232,0.224837444,0.227816634,0.228361324
73,0.050048042,0.088894343,0.005390206,0.126141423,0.259720626,0.374718871,0.469992365,0.549877086,0.618003563,0.676820035,0.728178877,0.773642756,0.814537272,0.851930968
74,0.010820365,0.080234969,0.01293385,0.111887169,0.241937424,0.351823561,0.439203682,0.509551194,0.568065797,0.618327177,0.662791804,0.703249974,0.741031502,0.777090714
75,0.124710517,0.156946731,0.196193333,0.242135583,0.290244249,0.335059291,0.372715663,0.40237879,0.424915743,0.441491207,0.45301399,0.460095173,0.463163564,0.462581262
76,0.167937834,0.236801798,0.28714149,0.34227602,0.408336033,0.48360575,0.563964179,0.646981331,0.731644113,0.817239305,0.902944128,0.987861363,1.071141962,1.152064826
77,0.040066874,0.046880476,0.072762751,0.240539133,0.407151913,0.54964652,0.666932666,0.765065844,0.849413534,0.923364467,0.988945648,1.04745965,1.09984383,1.146837098
78,0.09845213,0.05357566,0.018856919,0.004226036,0.01494032,0.015853141,0.01107109,0.003083635,0.006914683,0.018008024,0.029215081,0.039554115,0.048180539,0.054475906
79,0.132308752,0.102295325,0.093256686,0.100432081,0.118120298,0.141054438,0.165583868,0.190559062,0.215967592,0.241763534,0.267572434,0.292809744,0.316859368,0.339197049
80,0.081888965,0.076173857,0.114810981,0.174310998,0.253343135,0.348059144,0.450909358,0.556289007,0.661332564,0.76460691,0.865216929,0.962465842,1.055763105,1.144609556
